ID,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,ImageURL,Category
Ch2_Q17,A 38-year-old man presents with dorsal wrist pain. He has a stiff wrist with very limited range of motion and can't work as a mechanic. Plain films reveal Grade IV Kienbock's disease. He should be treated with?,Proximal row carpectomy,Wrist replacement,Curettage and vascularized pronator quadratus graft,Radial shortening,Wrist arthrodesis,E,The Lichtman classification system essentially divides Kienbock's disease into types that can be treated with therapeutic operations such as radial shortening or grafting versus those that need salvage operations such as partial or complete wrist arthrodesis. Stage 4 with generalized degenerative changes in the carpus requires wrist arthrodesis.,,Hand and Wrist
Ch2_Q18,A 41-year-old woman sustained a distal radius fracture whilst hiking in the Andes. It was treated in plaster by a local missionary doctor and went on to malunion. She presents with ulnar-sided pain and on examination she impacts on the ulnar side with a negative grind test at the distal radioulnar joint (DRUJ). The best treatment would be?,Ulnar shortening osteotomy,Darrach procedure,Sauve-Kapandji procedure,Arthroscopic debridement of DRUJ,Distal ulnar head implant arthroplasty,A,It is uncommon for younger people to present with significant radial shortening as their fractures are usually well managed. In this case there is ulna impaction syndrome. The aim is to reduce this impaction. There is no need to address the DRUJ or replace the distal ulna.,,Hand and Wrist
Ch2_Q19,Which of the following is not true of Dupuytren's disease?,The long-term recurrence rate is 50%,Painful nodules are an indication for surgery,Metacarpophalangeal joint (MCPJ) contracture of greater than 30° is an indication for surgery,Myofibroblasts are the offending cells in the aetiology of the disease,Concomitant carpal tunnel release increases incidence of post-operative flare,B,The disease is usually in its early phases. The stages according to Luck's classification are proliferative involutional and finally residual. Early surgery will certainly lead to recurrence and can stimulate the disease process. Carpal tunnel surgery must be performed at a separate occasion for a similar reason. Unfortunately in the long term recurrence rates are high (50%).,,Hand and Wrist
Ch2_Q20,A 17-year-old snowboarder fell onto his outstretched pronated hand. He presents with ongoing ulnar-sided wrist pain. He is tender over the ulnar fovea and has no click. The distal radioulnar joint (DRUJ) is stable. Plain films are normal and a MR arthrogram show a triangular fibrocartilage complex (TFCC) defect adjacent to the ulna. How is this classified according to the Palmer classification?,Class 2A lesion,Class 1A lesion,Class 2B lesion,Class 1B lesion,Class 1C lesion,D,TFCC tears are divided into acute (1) and chronic (2) by the Palmer classification. Class 1B is ulnar avulsion with or without ulnar styloid fracture. The majority of isolated TFCC injuries do not require early surgical management.,,Hand and Wrist
Ch2_Q21,A 16-year-old girl had multiple fractures in her forearm and hand. One year later after fracture healing she presents with trouble gripping things. When the metacarpophalangeal (MCP) joint is extended you cannot passively flex the proximal interphalangeal (PIP) joint. When the MCP joint is flexed it is possible to passively flex the PIP joint. Her extensors are at a good length. Which of the following is incorrect?,She has an intrinsic plus hand,She has a claw hand,She has a positive Bunnell test,She has a likely positive Bouviere effect,There is an imbalance between the intrinsic and extrinsic muscles,B,She has tight intrinsic muscles and her Bunnell test is positive as the intrinsic muscles are more powerful than her extrinsic extensors and flexors. An intrinsic minus hand is one where there is a loss of function in the ulna and sometimes the median nerve (claw).,,Hand and Wrist
Ch2_Q22,A 23-year-old cricketer had an avulsion of the flexor digitorum profundus (FDP) tendon of his ring finger. This was diagnosed early and despite proximal migration he had it reinserted with a button technique. Six months later he complains that he cant close his fingers tightly over a cricket ball. This problem is?,Lumbrical plus effect,Swan neck deformity,Quadrigia effect,Intrinsic tightness,Chronic mallet finger,C,Though this was a bony avulsion it must be thought of like any other FDP tendon injury. Because of the proximal migration of the tendon it was probably repaired tightly with an adhesed improperly tensioned FDP. Because the adjacent remaining fingers share a common muscle belly they cannot flex entirely (quadrigia effect).,,Hand and Wrist
Ch2_Q23,Which of the following is true regarding a Mayfield Stage I injury?,There is not always a scaphoid fracture,There is a lunotriquetral ligament injury,The lunate is extruded,There is a radio-scapho-capitate ligament detachment,There is a perilunate dislocation,A,To understand carpal instability it is essential to appreciate the ligamentous attachments. The Mayfield staging: Stage I - scapholunate dissociation/scaphoid fracture; Stage II - lunocapitate dislocation; Stage III - lunotriquetral disruption/triquetrum fracture; Stage IV - lunate dislocation.,,Hand and Wrist
Ch2_Q24,A 23-year-old was intoxicated at a wedding and fell through a glass window. He presents to the emergency department with a radial wrist laceration with arterial bleeding. With regards to the timing of surgery the major blood supply to the hand is provided by which of the following?,Deep branch of the radial artery,Radial artery,Deep palmar arch,Superficial palmar arch,Interosseous artery,D,The superficial palmar arch is a continuation of the ulna artery. In the majority of patients (78%) this arch is completed by branches from the deep palmar radial or median arteries. This explains why even with significant lacerations to the ulna artery a hand can be well perfused.,,Hand and Wrist
Ch2_Q25,A 41-year-old man presents with a swelling at the level of his distal interphalangeal (DIP) joint on his right middle finger. What is the most likely diagnosis?,Epidermoid cyst,Keratoacanthoma,Mucoid cyst,Epithelioid tumour,Sebaceous cyst,C,This is a common lesion that arises from the osteoarthritic DIP joint. There is usually a disruption of the joint and a cyst develops. They cause deformity of the nail because of pressure on the germinal matrix. If they are large it may be necessary to perform a local flap at excision (transposition).,,Hand and Wrist
Ch2_Q26,Which of the following is not a recognized treatment for carpal tunnel syndrome?,Nerve stimulation therapy,Steroid injection,One-portal endoscopic surgical release,Two-portal endoscopic surgical release,Yoga,A,If symptoms are not severe and there is not significant and progressive neuropathy then non-operative management must be considered. This includes splintage hand therapy steroid injection and even yoga has been proven to be beneficial. Alternatively a patient could be referred for either open or endoscopic release.,,Hand and Wrist
Ch2_Q27,All of the following contribute to the wrist and hand deformity in rheumatoid arthritis except?,Volar subluxation of the extensor carpi ulnaris (ECU),Radio-scapho-capitate ligament failure,Scaphoid extension,Supination of the carpus on the forearm,Distal radioulnar joint (DRUJ) destruction,C,In rheumatoid arthritis the inflammation of the synovium sets off a sequence of events that start with correctable deformity and eventually lead to fixed deformity. The synovitis at the DRUJ leads to capsular stretching with ECU subluxation. There is erosion of the radio-scapho-capitate ligament with flexion of the scaphoid (not extension). The carpus supinates as it moves in an ulna direction.,,Hand and Wrist
Ch2_Q28,A 13-year-old boy is referred to you after a trivial fall onto his elbow. Radiographs reveal a dislocated radial head. He does not have much pain. His mother says she has always had joint pains with abnormal knee caps. She keeps pointing to her knees in an excited manner with long fake nails. The most likely diagnosis is?,Marfan syndrome,Monteggia Bado injury,Generalized ligamentous laxity,Ehlers-Danlos syndrome,Nail patella syndrome,E,This syndrome is a result of an abnormality on chromosome 9. Patients may have subluxed or dislocated radial heads and never realize they have a problem until they have an X-ray. The syndrome can include abnormalities of the patella and nail growth generalized ligamentous laxity and bony exostoses.,,Hand and Wrist
Ch2_Q29,A 43-year-old woman presents with decreased digital flexion and an injury in Zone 2 of her left hand. On exploration what percentage laceration of the flexor tendon would you repair?,40%,25%,45%,50%,35%,D,Because of the morbidity and prolonged rehabilitation associated with tendon repair it is advisable to repair lacerations over 50% of the tendon width. The exception to this rule is if there is visible triggering under a local anaesthetic block it may be necessary to address this.,,Hand and Wrist
Ch2_Q30,With regards to radioulnar limb formation and the zone of polarizing activity defects in which protein will result in duplication of digits?,Fibroblast growth factor,Sonic hedgehog protein,LMX1,Transforming growth factor,Cartilage-derived morphogenetic protein,B,Eight weeks after fertilization all limb structures are present. There are three key zones responsible for proximodistal anteroposterior and dorsoventral development. The zone of polarizing activity produces sonic hedgehog protein which is responsible for anteroposterior development. Defects can result in digit duplication.,,Hand and Wrist
Ch3_Q1,The term internal impingement is used in throwers to describe a condition where the posterosuperior glenoid labrum impinges on which structure?,The anterior glenohumeral ligaments,The posterior glenohumeral ligaments,The biceps tendon,The anterior rotator cuff,The posterior rotator cuff,E,The primary cause of internal impingement is often anterior capsular laxity which may result in posterior capsular tightness. This results in anterior shift of the axis of rotation of the humeral head in the sagittal plane when the arm is in an abducted externally rotated position causing the posterior rotator cuff to impinge against the posterosuperior glenoid labrum.,,Shoulder
Ch3_Q2,The biomechanical advantage of a reverse total shoulder arthroplasty compared to a standard arthroplasty is what?,Centre of rotation more superior,Centre of rotation more medial,Centre of rotation more lateral,Increased lateral humeral offset,Decreased deltoid muscle fibre tension,B,The advantage of a reverse shoulder arthroplasty is that the centre of rotation (COR) is medialized which decreases the forces at the implant-bone interface and provides a mechanical advantage to the deltoid muscle to substitute for the deficient rotator cuff muscles to provide shoulder abduction.,,Shoulder
Ch3_Q3,Posterior glenohumeral dislocations occur more frequently than anterior dislocations in which group of patients?,Rugby players,Ehlers-Danlos patients,Hypermobile patients,Epileptics,None of the above,E,Whilst traumatic posterior shoulder dislocations are associated with epilepsy they are not more common in this patient group than traumatic anterior dislocations.,,Shoulder
Ch3_Q4,A football player sustains a suspected acromioclavicular joint (ACJ) separation. Which of the following is the most appropriate radiographic view to evaluate the ACJ?,Stryker notch view,Serendipity view,Zanca view,Supraspinatus outlet view,Garth view,C,A Zanca view is the most accurate view to look at the ACJ. This view is performed by tilting the X-ray beam 10° to 15° toward the cephalic direction and using only 50% of the standard shoulder AP penetration strength.,,Shoulder
Ch3_Q5,When compared to the non-dominant side which of the following shoulder motions is characteristically decreased in the throwing arm of athletes?,Internal rotation (IR),External rotation (ER),Forward elevation,Abduction,Adduction,A,Glenohumeral internal rotation deficit (GIRD) is associated with throwing athletes. Repetitive throwing (cocking phase and deceleration phase) leads to a tight posterior capsule and loose anterior capsule. It is associated with internal impingement. On examination the full arc of rotation at 90° is maintained but excessive ER is present at the expense of decreased IR (loss of 20° of IR at 90° compared to contralateral side).,,Shoulder
Ch3_Q6,Which of the following muscles have only a single nerve supply?,Brachialis,Flexor digitorum profundus,Lumbricals,Brachioradialis,Pectoralis major,D,Many muscle groups in the upper limb have dual innervation. Brachialis (musculocutaneous and radial) flexor digitorum profundus (anterior interosseus and ulnar) lumbricals (recurrent median and ulnar) and pectoralis major (lateral pectoral and medial pectoral) are examples. Brachioradialis has only a single nerve supply.,,Shoulder
Ch3_Q7,With the arm in 90° of abduction which of the following is considered the primary static restraint to anterior glenohumeral translation?,Negative intra-articular pressure,Superior glenohumeral ligament complex,Middle glenohumeral ligament complex,Inferior glenohumeral ligament complex,Shape of the bony articulation,D,The rotator cuff is a dynamic stabilizer and the capsulolabral tissues are considered static stabilizers. With the arm at 90° abduction the anterior band of the inferior glenohumeral ligament complex is the primary static stabilizer to anterior translation.,,Shoulder
Ch3_Q8,Following a traumatic anterior shoulder dislocation what factor is associated with the highest risk for recurrent instability?,Dislocation of the dominant shoulder,Bilateral shoulder dislocation,Young age (<25 years old) at time of dislocation,Family history of shoulder instability,Joint laxity,C,The only consistent predictor of recurrence has been the age of the patient. In young patients (<25 years old) recurrence rates have ranged from 60% to 94%. Family history confers a 34% risk of recurrence while dislocation in the contralateral shoulder is seen in 25% of recurrently unstable patients. No difference in dominant and non-dominant extremities was noted.,,Shoulder
Ch3_Q9,Which of the following is a known risk factor for the development of adhesive capsulitis of the shoulder?,Epilepsy,Dupuytren's contracture,Diabetes mellitus,Renal disease,All of the above,C,Adhesive capsulitis affects an estimated 2-5% of the population. Several medical conditions have been associated with idiopathic adhesive capsulitis including diabetes and hypothyroidism. The reported incidence in diabetics is between 10% and 36%. Patients with insulin-dependent diabetes tend to have more severe limitation of movement and are more resistant to non-surgical treatment than non-insulin diabetics.,,Shoulder
Ch3_Q10,Injury to the long thoracic nerve can present clinically as which of the following?,Weak shoulder abduction,Trapezius palsy,Latissimus dorsi atrophy,Lateral scapular winging,Medial scapular winging,E,The long thoracic nerve supplies serratus anterior injury to which can result in medial translation of the scapular and the inferior angle rotated medially. Lateral scapular winging (lateral translation and the inferior angle rotated laterally) can occur as result of spinal accessory nerve palsy which supplies trapezius.,,Shoulder
Ch3_Q11,Which of the following best describes a Buford complex?,Normal anatomic variant characterized by a cord-like middle glenohumeral ligament (MGHL) and an absent anteroinferior labrum,Normal anatomic variant characterized by a cord-like MGHL and an absent anterosuperior labrum,Normal anatomic variant characterized by a cord-like superior glenohumeral ligament (SGHL) and an absent anterosuperior labrum,Abnormal finding characterized by a cord-like MGHL and an absent anterosuperior labrum,Abnormal finding characterized by a cord-like inferior glenohumeral ligament (IGHL) and an absent posteroinferior labrum,B,A Buford complex is a normal anatomical variant seen in 1.5% of individuals. A Buford complex consists of a cord-like MGHL and absent anterosuperior labrum complex. It should not be repaired. Repair will result in decreased post-operative range of motion.,,Shoulder
Ch3_Q12,Following a total shoulder arthroplasty through a deltopectoral approach motion and strengthening are typically initially restricted because of which factor?,Risk of dislocation,Risk of loosening,Risk of glenoid fracture,Protect the subscapularis tendon,Protect the supraspinatus tendon,D,As part of a deltopectoral approach the subscapularis is taken down off the humerus. This may be done trans-tendon directly off bone or with a lesser tuberosity osteotomy. In the initial post-operative period passive external rotation is limited to a maximum 30° to allow healing and protect the repair.,,Shoulder
Ch3_Q13,In an anterior dislocation which nerve is most likely to be injured?,Musculocutaneous,Suprascapular,Upper or lower subscapular,Axillary,Radial,D,The most common nerve to be injured in a traumatic anterior shoulder dislocation is the axillary nerve. This is because of its close association with the glenohumeral joint and its course around the surgical neck of the humerus. Based on clinical and electromyography (EMG) findings Visser et al. showed that the axillary nerve is injured in 42% of traumatic anterior dislocations.,,Shoulder
Ch3_Q14,A 55-year-old patient has chronic pain over the lateral aspect of the elbow exacerbated when playing backhand tennis stroke. On examination she has pain with resisted middle finger extension. Which muscle attachment is most likely involved?,Brachioradialis,Extensor digitorum communis,Extensor carpi radialis longus,Extensor carpi radialis brevis,Anconeus,D,The patient has lateral epicondylitis (tennis elbow) which usually involves a microtear of extensor carpi radialis brevis (ECRB). Histologically the lesion that was consistently identified at surgery was immature fibroblastic and vascular infiltration (angiofibroblastic dysplasia) of the origin of ECRB.,,Shoulder
Ch3_Q15,Which of the following is the primary stabilizer to resist valgus stress in the flexed elbow?,Ulno-humeral articulation,Radiocapitellar articulation,Flexor-pronator muscle mass,Anterior band of the medial ulnar collateral ligament,Posterior band of the medial ulnar collateral ligament,D,The anterior band provides the major contribution to valgus stability. The olecranon is an important stabilizer of the elbow in extension at 25° flexion the olecranon is unlocked from its fossa and the ulnar collateral ligament becomes the most important stabilizer. The radial head is an important secondary stabilizer in flexion and extension.,,Shoulder
Ch3_Q16,The greatest stress on the medial ulnar collateral ligament of the elbow occurs during which phase of throwing?,Wind-up,Early cocking,Late cocking,Ball release,Follow through,C,The late cocking and early acceleration phase of the overhead throw causes the greatest amount of valgus stress to the elbow. During this phase the forearm lags behind the upper arm and generates valgus stress while the elbow is primarily dependent on the anterior band of the ulnar collateral ligament for stability.,,Shoulder
Ch3_Q17,A 31-year-old weightlifter reports right shoulder pain with cross-body adduction as well as point tenderness at the acromioclavicular joint (ACJ). X-rays show osteopaenia of the distal clavicle. Initial treatment should include?,Glenohumeral joint injection,Periscapular muscle strengthening,Activity modification,Capsular release,Arthroscopic resection of the distal clavicle,C,Distal clavicular osteolysis is an uncommon cause of shoulder pain that can occur after acute injury or repetitive microtrauma. Initial treatment is non-surgical and includes activity modification and ACJ steroid injection. Arthroscopic resection of the distal clavicle should be considered in patients refractory to non-operative treatment.,,Shoulder
Ch3_Q18,Avulsion of which ligament off its humeral insertion has historically been associated with recurrent instability and may require open repair?,Inferior glenohumeral,Middle glenohumeral,Superior glenohumeral,Coracohumeral,Coracoacromial,A,A humeral avulsion of the glenohumeral ligament (HAGL) lesion is a detachment of the inferior glenohumeral ligament (IGHL) off its humeral insertion. If missed it can cause a failure of Bankart repair. The classic teaching is for repair via an open approach.,,Shoulder
Ch3_Q19,A 78-year old female sustains a four-part proximal humerus fracture and undergoes a shoulder hemiarthroplasty. Intraoperatively the lesser tuberosity was lateralized. What problem will this patient most likely have post-operatively?,Forward elevation weakness,Bicipital pain,Abduction deficit,External rotation deficit,Internal rotation deficit,E,Healing of the tuberosities and their attached rotator cuff tendons is crucial in functional outcome after arthroplasty. Failure to properly position tuberosity fragments in the horizontal plane may result in insurmountable post-operative motion restriction.,,Shoulder
Ch3_Q20,A patient is known to have a SLAP tear. An MRI shows a large cyst in the spinoglenoid notch. What additional finding on examination is the patient likely to display?,Weakness in external rotation,Weakness in forward elevation,Weakness in internal rotation,Medial scapular winging,Lateral scapular winging,A,Compression at the spinoglenoid notch will affect only the infraspinatus as the suprascapular nerve has already innervated the supraspinatus by this point. Prolonged impingement on the suprascapular nerve by a spinoglenoid cyst can result in atrophy of the infraspinatus muscles. This would show up as weakness in external rotation on examination.,,Shoulder
Ch3_Q21,What technical error leads to scapular notching after reverse total shoulder arthroplasty?,Retroverted placement of the glenoid component,Superior placement of the glenoid component,Inferior placement of the glenoid component,Posterior placement of the glenoid component,Overtensioning of the soft tissue envelope,B,Superior positioning of the glenoid component as well as superior tilt of the component with respect to the scapula can lead to scapular notching with a resultant poorer outcome. Inferior tilt and proper placement of the glenoid component protects against notching.,,Shoulder
Ch3_Q22,What is the most common pathological arthroscopic finding following a traumatic anterior shoulder dislocation?,Hill-Sachs lesion,Posterosuperior labral tear,Posteroinferior labral tear,Anterosuperior labral tear,Anteroinferior labral tear,E,It has been shown in one study that 87% have an anterior glenoid labral tear (Bankart lesion) 79% had anterior capsular insufficiency 68% had a Hill-Sachs lesion 55% had glenohumeral ligament insufficiency 14% had complete rotator cuff tears 12% had posterior glenoid labral tears and 7% had SLAP tears.,,Shoulder
Ch3_Q23,When approaching the proximal diaphyseal radius via the Henry approach (volar) the forearm is supinated to minimize injury to what structure?,Radial nerve,Lateral antebrachial cutaneous nerve,Posterior interosseous nerve,Ulnar nerve,Median nerve,C,The posterior interosseous nerve is vulnerable as it winds around the neck of the radius within the supinator muscle. Fully supinating the forearm displaces the nerve laterally and posteriorly away from the surgical site at the same time more fully exposing the insertion of supinator.,,Shoulder
Ch3_Q24,A patient sustains a midshaft clavicle fracture which heals with 2 cm of shortening. What is the most likely clinical outcome?,Normal shoulder muscle strength and endurance,Decreased shoulder muscle strength and endurance,Decreased shoulder abduction,Decreased shoulder external rotation,Decreased shoulder adduction,B,McKee found that patients who had non-operative treatment of displaced (2 cm) midshaft clavicle fractures had significant decrease in both strength and endurance of about 80% compared to the contralateral side. Range of motion (ROM) of the affected shoulder was unaffected.,,Shoulder
Ch3_Q25,A 68-year-old female rheumatoid patient presents with a painful stiff elbow. Plain radiographs show a Larsen grade IV. The most appropriate surgical option is?,Arthroscopic synovectomy,Open synovectomy,Open synovectomy and radial head excision,Lateral elbow replacement,Total elbow replacement,E,The Larsen classification of the rheumatoid elbow is based on plain radiographs and is graded I-V Grade I soft tissue swelling and osteoporosis. Grade II mild narrowing of the joint space and some marginal erosion. Grade III significant joint space narrowing. Grade IV integrity of subchondral plates is breached by deep erosions. Grade V total joint destruction.,,Shoulder
Ch3_Q26,A 50-year-old male complains of acute shoulder pain and an inability to lift his arm over his head after an anterior shoulder dislocation. Examination reveals active forward elevation to 30° and grade 3/5 external rotation strength. An arthrogram shows extravasation of the dye into the subacromial space with no evidence of arthritis. What is the most appropriate treatment option?,Shoulder hemiarthroplasty,Rotator cuff repair,Reverse total shoulder arthroplasty,Total shoulder arthroplasty,Physiotherapy,B,A shoulder dislocation in a patient >40 years commonly results in a rotator cuff tear. In a shoulder with an intact rotator cuff the dye will remain in the glenohumeral joint. A rotator cuff tear allows the dye to leak into the subacromial space. The most appropriate treatment is a rotator cuff repair.,,Shoulder
Ch3_Q27,A 35-year-old woman sustains an elbow fracture dislocation which includes a coronoid fracture involving more than 50% and a comminuted radial head fracture. What is the most appropriate treatment?,Closed reduction and early range of motion,Radial head resection and coronoid open reduction internal fixation,Radial head arthroplasty and coronoid open reduction internal fixation,Radial head resection and lateral collateral ligament reconstruction,Radial head arthroplasty coronoid open reduction internal fixation and lateral collateral ligament repair,E,A terrible triad of the elbow includes dislocation of the elbow with associated fractures of the radial head and the coronoid process. Ring et al. stressed that these injuries are prone to complications and advised against resection of the radial head due to instability and instead recommended a radial head replacement if too comminuted for open reduction and internal fixation. Coronoid fractures compromise elbow stability as well and require open reduction and internal fixation as with the lateral collateral ligament.,,Shoulder
Ch3_Q28,What is the most common mode of failure of the lateral ulnar collateral ligament (LUCL) associated with an elbow dislocation?,Ligament avulsion off the humeral origin,Ligament avulsion off the ulnar insertion,Bony avulsion of the humeral origin,Bony avulsion of the ulnar insertion,Midsubstance rupture,A,The LUCL is most commonly injured at the proximal origin. McKee et al. noted that in 62 consecutive operative elbow dislocations and fracture-dislocations the LUCL was ruptured in all of the patients proximally in 32 bony avulsion proximally in 5 midsubstance rupture in 18 ulnar detachment in 3 ulnar bony avulsion in 1 and combined patterns in 3.,,Shoulder
Ch3_Q29,A patient sustains a displaced scapular neck fracture. What is the internervous plane for a posterior approach to the glenohumeral joint?,Suprascapular-axillary,Suprascapular-subscapular,Long thoracic-spinal accessory,Lateral pectoral-axillary,Subscapular-musculocutaneous,A,Surgical fixation of a scapular neck fracture is performed via a posterior approach to the scapular-glenoid. The internervous plane is between the infraspinatus (suprascapular nerve) and the teres minor (axillary nerve). The posterior branch of the axillary nerve has intimate association with the inferior aspects of the glenoid and shoulder joint capsule.,,Shoulder
Ch3_Q30,The optimal position of the shoulder for arthrodesis is?,External rotation (ER) 30° Flexion 30° Abduction 30°,ER 30° Flexion 30° Adduction 30°,Internal rotation (IR) 30° Flexion 30° Abduction 30°,IR 30° Flexion 10° Adduction 30°,IR 30° Flexion 40° Abduction 30°,C,Shoulder arthrodesis should be performed so that the arm rests comfortably at the side without scapular winging and so that the hand can be brought easily to the mouth and perineum.,,Shoulder
Ch4_Q1,All of the following statements regarding thoracolumbar trauma are true except?,Instability of a vertebral fracture can be determined by loss of vertebral height 50%,There is no direct relationship between canal compromise and neurological deficit,Instability of injuries can be determined by further neurological deterioration under normal physiological load,Widening of the interpedicular distance on plain radiograph can indicate a burst fracture,In a thoracic burst fracture a thoracolumbar orthosis is indicated if there is 50% loss of vertebral body height and 30° kyphosis,E,A thoracolumbar orthosis can be indicated in patients who are neurologically intact with a kyphosis 30° a loss of vertebral body height 50% and with intact posterior elements. There is no direct relationship between degree of canal compromise and neurological deficit as the neurological deficit is related to the initial injury.,,Spine
Ch4_Q2,All of the following statements regarding curve progression in adolescent idiopathic scoliosis are true except?,With curves of 20-29° 40% of patients who are Risser 0-1 are at risk of curve progression,With curves of 20-29° 22% of patients who are Risser 2-4 progress,After skeletal maturity a lumbar curve 35° can progress by 1°/year,A late curve progression in males is more common than in females,A rapid curve progression in females occurs before menarche and before Risser 1,A,For curves of 20-29° in an immature child with a Risser sign of 0 or 1 the incidence of progression is 68% not 40%. Smaller curves 19° in an immature child Risser 0-1 and larger curves 20-29° in a mature child Risser 2 or more have an incidence of progression of 22% and 23% respectively.,,Spine
Ch4_Q3,During an anterior instrumented fusion of the lumbar spine through a left-sided retroperitoneal approach all of the following statements are correct except?,The ureter is adherent to the posterior peritoneum and falls away from the psoas through the dissection,The sympathetic trunk lying longitudinally along the lateral border of the psoas is at risk during this procedure,The ilioinguinal nerve emerges from the lateral border of the psoas and travels to the quadratus lumborum,A cold and pale right foot is a recognized post-operative examination finding,The genitofemoral nerve lies on the anteromedial surface of the psoas,B,The sympathetic trunk lies longitudinally along the medial border of the psoas not lateral. An injury to the sympathetic chain results in a warm and red foot on the ipsilateral side to the approach left in this case giving the appearance that the normal foot is cold and pale.,,Spine
Ch4_Q4,All of the following statements regarding scoliosis in neurofibromatosis (NF) are true except?,Non-dystrophic deformities are indistinguishable from idiopathic scoliosis,The typical curve of NF-1 is characterized by a short and sharp curvature,Scalloping of the vertebral bodies with enlargement of the neural foramina are features of a dystrophic curve,Marked rotation of the apical vertebra with pencilling of the ribs can often be found in dystrophic curves,Neurological deficit associated with compression from neurofibromata or kyphoscoliosis is uncommon,E,Approximately 17% of patients with spinal deformity secondary to NF may have a neurological compromise due to tumour or deformity. The typical curve in NF-1 is a dystrophic curve characterized by a short and sharp curvature with scalloping of vertebral bodies enlargement of neural foramina marked rotation of apical vertebra and pencilling of ribs.,,Spine
Ch4_Q5,Which of the following is true regarding superior mesenteric artery (SMA) syndrome?,The condition often occurs in overweight female patients,This syndrome is also known as cast syndrome,This condition occurs following curve correction as a result of an increase in the angle between the aorta and the superior mesenteric artery,The condition is due to an ischaemic event of the SMA,This is a surgical emergency requiring an early laparotomy duodenojejunostomy,B,Superior mesenteric artery syndrome also known as cast syndrome is an uncommon complication of scoliosis surgery. It occurs more commonly in thin female patients following correction. As a result of the curve correction the angle between the SMA and the aorta is narrowed resulting in compression of the third part of the duodenum. The majority of cases settle with conservative measures.,,Spine
Ch4_Q6,A 46-year-old man presents to the clinic with severe back pain. All of the following are consistent with non-organic signs except?,Discrepancy between findings on supine and sitting straight leg raising tests,Disproportionate facial expressions or tremor during examination,Low back pain on passive rotation of shoulders and pelvis in the same plane,According to Waddell et al non-organic signs should be equated with malingering or the presence of a psychological problem,Non-dermatomal sensory loss,D,Waddells inappropriate/non-organic signs include pain on axial compression and pelvic rotation resisted hip flexion non-dermatomal sensory loss non-anatomical tenderness cogwheel give way weakness straight leg rise discrepancy and overreaction. The presence of more than three signs indicates non-organic features however the presence should not be equated with malingering but should alert the clinician to the need for more comprehensive testing.,,Spine
Ch4_Q7,A 32-year-old man presents with a 2 month history of back and right-sided leg pain. He walked with a right Trendelenburg gait. The most likely diagnosis is?,An ipsilateral paracentral disc herniation at L3-L4,An ipsilateral paracentral disc herniation at L5-S1,An ipsilateral far lateral disc herniation at L4-L5,An ipsilateral far lateral disc herniation at L5-S1,An ipsilateral foraminal disc herniation at L4-L5,D,A paracentral disc herniation at L4-L5 or a far lateral disc herniation at L5-S1 most commonly result in an L5 radiculopathy and therefore weakness of the gluteus medius resulting in a Trendelenburg gait. A paracentral herniation at L5-S1 most commonly affects the S1 nerve root.,,Spine
Ch4_Q8,Which of the following is incorrect regarding spinal tuberculosis?,It originates underneath the anterior longitudinal ligament and can cause destruction of several contiguous levels,It can cause skip lesions at non-contiguous segments in 15% of the cases,In the early disease process the disc spaces are relatively preserved,Kyphosis and Pott paraplegia are late sequelae,Spinal cord injury occurring secondary to a bony sequestra carries a good prognosis,A,Spinal tuberculosis originates in the metaphysis of the vertebral body and spreads under the anterior longitudinal ligament causing destruction of several contiguous levels and skip lesions in 15% of cases. The disc spaces are preserved in the early stages which differentiates TB from pyogenic infection. Cord injury secondary to direct pressure from TB abscess or bony sequestra carries a good prognosis.,,Spine
Ch4_Q9,A 58-year-old lady with rheumatoid arthritis (RA) presents with neck pain and occipital headache. Which of the following is true regarding her condition?,Atlantoaxial subluxation occurs in 25% of cases of RA as the result of pannus formation,An anterior atlantodens interval (ADI) of more than 3.5 mm on flexion-extension views indicates instability and an absolute indication for surgery,A space available for the cord (SAC) of less than 14 mm or an ADI of more than 9-10 mm is an indication for spinal stabilization,A Ranawat C1-C2 index of 17 mm is consistent with basilar invagination,A subaxial subluxation of 4 mm is not indicative of cord compression,C,Atlantoaxial subluxation occurs in 60-80% of cases of RA. An ADI of 3.5 mm on flexion extension is common in RA and indicates instability but is not necessarily an indication for surgery. A SAC <14 mm or an ADI >9-10 mm is associated with increased risk of neurological injury and usually requires surgical intervention. A Ranawat C1-C2 index <13 mm indicates basilar invagination. Subaxial subluxation >4 mm or more than 20% of the body is indicative of cord compression.,,Spine
Ch4_Q10,A 26-year-old builder underwent an L4-L5 discectomy 12 months ago. He continues to experience pain in his right leg. Systemically he is well. Gadolinium-enhanced MRI scans showed enhancement adjacent to the right L5 root. There is no fluid collection. What is the most likely diagnosis?,L4-L5 discitis,Recurrent right L4-L5 disc herniation,Epidural abscess,Right L5 perineural fibrosis,Schwannoma of the right L5 root,D,Gadolinium-enhanced MRI scans are helpful post discectomy in differentiating between recurrence of disc herniation which does not enhance with gadolinium and perineural fibrosis which shows enhancement around the root. A schwannoma enhances with gadolinium although the root would be enlarged. Systemically the patient is well and there is no evidence of fluid collection to suggest an infective process.,,Spine
